size,repetition,is_cold,connection_time,start_timestamp,finish_timestamp,request_id
1024,0,1,0.233777,1604974249.687951,1604974250.224643,ec6eo0konfwy
1024,1,0,0.074421,1604974278.968552,1604974279.112284,ec6e5u37drj4
1024,2,0,0.062098,1604974290.231859,1604974290.365448,ec6ew6o3rl99
1024,3,0,0.07119,1604974297.808172,1604974298.02614,ec6e7ogdlq7h
1024,4,0,0.060817,1604974305.179334,1604974305.329048,ec6eazg8md47
329970,0,0,0.062966,1604974315.633131,1604974316.018094,ec6ezx5ep8v2
329970,1,0,0.06909,1604974321.775511,1604974322.448589,ec6elqagx51j
329970,2,0,0.06159,1604974333.246656,1604974333.82603,ec6eczuz8dkf
329970,3,0,0.046016,1604974345.524712,1604974346.150795,ec6ekwbcrsx0
329970,4,0,0.07295,1604974366.626807,1604974367.328361,ec6e3sucocgn
658916,0,0,0.062206,1604974383.960666,1604974384.696887,ec6e4w6noqya
658916,1,0,0.049308,1604974390.800774,1604974391.515849,ec6eb2zbcsqf
658916,2,0,0.055076,1604974397.555066,1604974398.224551,ec6eap766mu3
658916,3,0,0.070386,1604974406.776637,1604974407.534881,ec6e3vwrk1pk
658916,4,0,0.060779,1604974422.945531,1604974423.630726,ec6eb9phqfhs
987862,0,0,0.057173,1604974435.448417,1604974436.326134,ec6e1vyx2mf6
987862,1,0,0.059827,1604974444.449654,1604974445.151193,ec6ejdp91zl4
987862,2,0,0.050426,1604974462.061336,1604974462.794975,ec6e99l9t2gs
987862,3,0,0.05725,1604974473.538624,1604974474.325244,ec6e8vu3w1fh
987862,4,0,0.058633,1604974483.771805,1604974484.628103,ec6ehsv2t8fn
1316808,0,0,0.059294,1604974492.592275,1604974493.534624,ec6echa5g8xs
1316808,1,0,0.048562,1604974505.071742,1604974505.681618,ec6e89mxd71c
1316808,2,0,0.068639,1604974514.155555,1604974514.941795,ec6eh3wuabj5
1316808,3,0,0.053625,1604974533.742492,1604974534.642753,ec6eu87i4zf8
1316808,4,0,0.059189,1604974544.024394,1604974544.926147,ec6ehr7kmj6p
1645754,0,0,0.095732,1604974555.466537,1604974556.526304,ec6esxocc3y2
1645754,1,0,0.054502,1604974575.330416,1604974576.192047,ec6ev93nnzib
1645754,2,0,0.057898,1604974595.603066,1604974596.629981,ec6ew3xjqv1j
1645754,3,0,0.056668,1604974604.819582,1604974605.624885,ec6ebaktm3wd
1645754,4,0,0.058436,1604974615.668937,1604974616.325101,ec6e1wgzd19l
1974700,0,0,0.051173,1604974629.402548,1604974630.296678,ec6efy3jk9x1
1974700,1,0,0.064017,1604974645.211574,1604974646.125582,ec6e8zo58ksv
1974700,2,0,0.062568,1604974655.021903,1604974655.736812,ec6e2am0s7uq
1974700,3,0,0.061551,1604974662.370622,1604974663.127562,ec6e2klv6tw9
1974700,4,0,0.062324,1604974671.739542,1604974672.625151,ec6efruby26i
2303646,0,0,0.060499,1604974684.51467,1604974685.432829,ec6e7gfcishu
2303646,1,0,0.054583,1604974696.926552,1604974697.726293,ec6e7kskvfcr
2303646,2,0,0.054072,1604974705.793008,1604974706.728092,ec6e8q2lod7c
2303646,3,0,0.051942,1604974714.600184,1604974715.526597,ec6ebmmmb2pr
2303646,4,0,0.057289,1604974726.27483,1604974727.016593,ec6e3nvohm8g
2632592,0,0,0.052764,1604974738.736761,1604974739.733154,ec6ey1hcjcf0
2632592,1,0,0.052403,1604974752.696882,1604974753.442955,ec6e8jmphlh9
2632592,2,0,0.051607,1604974765.398696,1604974766.32834,ec6ew7bttwmj
2632592,3,0,0.053612,1604974773.079021,1604974773.838699,ec6em4uu0kny
2632592,4,0,0.06471,1604974783.005839,1604974784.12475,ec6ejeahxlf5
2961538,0,0,0.056175,1604974791.834792,1604974792.924498,ec6e2n31uquu
2961538,1,0,0.061704,1604974803.074599,1604974804.028422,ec6e2w52pxxy
2961538,2,0,0.061131,1604974821.121086,1604974822.027478,ec6eb8h1ao4m
2961538,3,0,0.056533,1604974834.619399,1604974835.735828,ec6e782ovdp1
2961538,4,0,0.057433,1604974844.862878,1604974845.850754,ec6e7c0s7bay
3290485,0,0,0.109789,1604974858.383906,1604974859.537178,ec6e5z5qrpgr
3290485,1,0,0.056437,1604974866.576681,1604974867.625044,ec6exukzdm6q
3290485,2,0,0.058545,1604974887.257499,1604974888.340453,ec6e4n0ta1zq
3290485,3,0,0.05271,1604974897.703966,1604974899.024798,ec6em2f24w8j
3290485,4,0,0.060055,1604974914.903009,1604974916.024885,ec6ev0gext5t
3619431,0,0,0.051675,1604974926.389955,1604974927.451781,ec6e1m092t7t
3619431,1,0,0.061045,1604974934.5619,1604974935.733493,ec6eegt7jktl
3619431,2,0,0.05264,1604974943.778358,1604974944.925395,ec6e9cibc66c
3619431,3,0,0.054657,1604974953.623863,1604974954.824892,ec6ebmjnr7l1
3619431,4,0,0.05764,1604974964.895793,1604974965.946708,ec6epcwloieq
3948377,0,0,0.053924,1604974981.148704,1604974982.427269,ec6ehxpvj08f
3948377,1,0,0.053905,1604974995.031855,1604974996.226701,ec6emnsm9dzf
3948377,2,0,0.056877,1604975008.084384,1604975009.327304,ec6eqoo5d9ae
3948377,3,0,0.051763,1604975026.32621,1604975027.533841,ec6efhdv51hg
3948377,4,0,0.062958,1604975039.256799,1604975040.433652,ec6er151omf4
4277323,0,0,0.050818,1604975055.423492,1604975056.64655,ec6em4wfsedd
4277323,1,0,0.054218,1604975071.988777,1604975073.22492,ec6e1imwl59o
4277323,2,0,0.057561,1604975090.829833,1604975092.125182,ec6eqlkgpunk
4277323,3,0,0.053072,1604975106.806422,1604975108.045521,ec6eurh412l7
4277323,4,0,0.053727,1604975116.233835,1604975117.341499,ec6erum4jcrk
4606269,0,0,0.060816,1604975126.076022,1604975127.427697,ec6er89q84fa
4606269,1,0,0.053738,1604975141.21692,1604975142.632759,ec6eedm10kmo
4606269,2,0,0.054563,1604975157.427692,1604975158.825047,ec6eqe5jly72
4606269,3,0,0.106296,1604975169.061017,1604975170.431238,ec6e8ab57et8
4606269,4,0,0.051111,1604975183.737322,1604975185.127775,ec6eef7vwbze
4935215,0,0,0.054439,1604975192.43837,1604975193.925226,ec6el7oe7wye
4935215,1,0,0.057062,1604975205.32185,1604975206.63829,ec6ebzju00yl
4935215,2,0,0.06304,1604975216.79481,1604975218.232252,ec6e4qw6zmns
4935215,3,0,0.050604,1604975226.412943,1604975227.728344,ec6esoaayijg
4935215,4,0,0.065311,1604975243.207301,1604975244.724145,ec6eijb79snj
5264161,0,0,0.053399,1604975255.520167,1604975257.025862,ec6esb7xzimf
5264161,1,0,0.049822,1604975264.721386,1604975266.224092,ec6eii259px7
5264161,2,0,0.049744,1604975277.622656,1604975279.124877,ec6esurzl5od
5264161,3,0,0.055422,1604975297.07366,1604975298.637605,ec6ehbzuouzl
5264161,4,0,0.058736,1604975312.034474,1604975313.531032,ec6e3kqrjdp9
5593107,0,0,0.068944,1604975323.515377,1604975325.239724,ec6ebpb0rhmx
5593107,1,0,0.053458,1604975335.784789,1604975337.230851,ec6e7ohacxi9
5593107,2,0,0.067103,1604975357.6953,1604975359.234011,ec6e786zlasn
5593107,3,0,0.049594,1604975367.116024,1604975368.629449,ec6exzbjsdko
5593107,4,0,0.053175,1604975382.908398,1604975384.43541,ec6ecz8yhdw8
5922053,0,0,0.049832,1604975392.122649,1604975393.841197,ec6eqbxlimxa
5922053,1,0,0.047118,1604975410.125551,1604975411.72996,ec6e5h81shyi
5922053,2,0,0.061261,1604975430.811118,1604975432.540057,ec6esm7d85xi
5922053,3,0,0.056107,1604975451.700697,1604975453.537601,ec6e9kz5h1xi
5922053,4,0,0.055402,1604975464.817095,1604975466.423889,ec6eer79aa70
6251000,0,0,0.106893,1604975475.897175,1604975477.636037,ec6eo15bwaku
6251000,1,0,0.049067,1604975486.107931,1604975487.830418,ec6ecd111fas
6251000,2,0,0.0522,1604975495.122045,1604975496.931152,ec6ewxberogt
6251000,3,0,0.071571,1604975508.438042,1604975510.224887,ec6e3h2zlpwm
6251000,4,0,0.053409,1604975522.150431,1604975523.824783,ec6e9j7e5t47
