Begin,End,Duration,User,Sys
1605566580.762,1605566581.133,371731.235,156064,6649
1605566581.137,1605566581.397,260625.102,112660,7442
1605566581.400,1605566581.678,278526.204,92989,8462
1605566581.679,1605566581.949,269767.567,98644,4007
1605566581.950,1605566582.189,239076.606,87481,12193
1605566582.190,1605566582.394,203575.077,79816,11675
1605566582.395,1605566582.714,319342.335,106159,11417
1605566582.716,1605566582.977,260667.556,80602,5119
1605566582.978,1605566583.157,179227.766,78435,3413
1605566583.158,1605566583.408,249827.854,87934,7986
1605566583.411,1605566583.617,206398.119,82543,3627
1605566583.619,1605566583.800,180781.593,68264,12588
1605566583.802,1605566583.997,195242.792,78096,150
1605566583.999,1605566584.208,209226.135,114020,7912
1605566584.211,1605566584.401,189822.188,72745,7672
1605566584.403,1605566584.613,209988.051,74820,7891
1605566584.615,1605566584.841,225278.196,73474,5133
1605566584.843,1605566585.081,237816.96,92596,4081
1605566585.085,1605566585.311,225385.395,84427,544
1605566585.313,1605566585.490,176815.074,66712,8139
1605566585.493,1605566585.740,247483.367,102328,572
1605566585.746,1605566585.966,220194.658,74247,635
1605566585.969,1605566586.201,232315.733,79945,1466
1605566586.205,1605566586.433,228192.01,84048,4549
1605566586.436,1605566586.629,193428.468,75329,253
1605566586.633,1605566586.846,212951.994,70949,4097
1605566586.856,1605566587.107,250483.763,80701,0
1605566587.110,1605566587.390,279964.649,71263,7421
1605566587.400,1605566587.674,273309.654,99320,4089
1605566587.680,1605566587.928,247873.591,77698,1070
1605566587.931,1605566588.223,291633.475,66985,8556
1605566588.232,1605566588.465,232104.433,81344,0
1605566588.468,1605566588.761,292609.103,75062,4460
1605566588.764,1605566588.953,188927.692,75753,540
1605566588.957,1605566589.289,332012.819,80658,4229
1605566589.293,1605566589.534,240401.739,70234,4534
1605566589.557,1605566589.802,245787.985,69336,12122
1605566589.810,1605566590.099,289683.266,73416,4653
1605566590.104,1605566590.347,243412.962,69712,3749
1605566590.352,1605566590.543,191137.7,91647,220
1605566590.564,1605566590.747,182706.972,79086,0
1605566590.752,1605566590.928,176053.008,70943,4101
1605566590.933,1605566591.120,187347.989,80527,7879
1605566591.127,1605566591.349,221432.807,68890,8705
1605566591.354,1605566591.536,182279.813,75339,0
1605566591.541,1605566591.742,200158.631,65460,11612
1605566591.747,1605566591.925,177785.434,75544,0
1605566591.930,1605566592.111,181098.166,72661,0
1605566592.117,1605566592.292,175081.186,64036,11651
1605566592.298,1605566592.486,188397.915,68064,4540
1605566592.492,1605566592.709,216396.537,71002,8315
1605566592.717,1605566592.960,243488.064,83975,0
1605566592.967,1605566593.179,212074.445,73676,782
1605566593.185,1605566593.398,212776.23,71520,483
1605566593.406,1605566593.597,190652.596,73912,0
1605566593.604,1605566593.779,175384.462,69296,4318
1605566593.788,1605566593.969,181100.07,65445,7969
1605566593.976,1605566594.152,175235.315,70810,3809
1605566594.159,1605566594.345,185847.307,74276,421
1605566594.353,1605566594.543,190142.961,71507,197
1605566594.551,1605566594.779,228215.637,71374,8980
1605566594.797,1605566594.993,196299.447,72934,102
1605566595.001,1605566595.198,197281.22,69690,4666
1605566595.208,1605566595.378,169787.914,67679,4235
1605566595.386,1605566595.581,195068.814,72461,956
1605566595.600,1605566595.802,202330.288,67379,8709
1605566595.811,1605566595.979,167754.098,63992,8771
1605566595.987,1605566596.155,167312.698,67657,7827
1605566596.164,1605566596.340,176069.078,73413,114
1605566596.356,1605566596.516,159646.365,71857,4180
1605566596.525,1605566596.729,203744.983,69118,4390
1605566596.739,1605566596.926,187573.673,70589,4416
1605566596.936,1605566597.134,198449.701,74238,0
1605566597.144,1605566597.417,272948.329,78184,4619
1605566597.427,1605566597.653,225221.119,64355,8226
1605566597.668,1605566597.910,241102.404,67262,12181
1605566597.920,1605566598.143,222397.528,74882,0
1605566598.155,1605566598.497,341803.733,74510,0
1605566598.508,1605566598.713,204686.058,72477,4232
1605566598.725,1605566598.953,227519.151,67015,8406
1605566598.964,1605566599.149,184482.582,71367,4807
1605566599.162,1605566599.326,164216.747,76527,339
1605566599.338,1605566599.552,213802.285,66111,8563
1605566599.566,1605566599.767,201392.844,76328,696
1605566599.781,1605566600.036,255079.001,68398,9051
1605566600.049,1605566600.196,146518.959,71619,4228
1605566600.210,1605566600.386,175783.15,68185,8247
1605566600.401,1605566600.603,202971.387,68860,4283
1605566600.617,1605566600.772,154643.513,64562,8647
1605566600.786,1605566600.933,146980.428,63826,8807
1605566600.948,1605566601.142,193414.736,70068,3943
1605566601.157,1605566601.373,216164.882,71711,0
1605566601.397,1605566601.604,206789.709,71333,4190
1605566601.636,1605566601.878,242313.651,90456,0
1605566601.904,1605566602.104,200015.219,61190,12817
1605566602.123,1605566602.344,221809.586,74447,0
1605566602.362,1605566602.643,280709.222,66721,7395
1605566602.672,1605566602.897,225130.457,74850,0
1605566602.914,1605566603.103,188996.635,79764,4460
1605566603.119,1605566603.274,154974.694,70196,4362
1605566603.291,1605566603.462,171432.723,73335,0
1605566603.486,1605566603.667,180366.499,70207,4723
1605566603.712,1605566603.866,154297.425,72503,0
1605566603.885,1605566604.072,187688.823,72891,0
1605566604.091,1605566604.246,155293.325,71491,3243
1605566604.268,1605566604.446,177910.515,67936,3918
1605566604.465,1605566604.656,191676.421,69589,3721
1605566604.676,1605566604.855,178464.992,78125,4075
1605566604.874,1605566605.012,138026.023,70044,3320
1605566605.034,1605566605.168,134797.446,72163,52
1605566605.188,1605566605.342,154104.575,73600,0
1605566605.362,1605566605.531,169121.694,74679,646
1605566605.551,1605566605.795,243614.598,70886,4121
1605566605.822,1605566605.986,163848.86,67557,8721
1605566606.007,1605566606.190,183297.674,73197,131
1605566606.210,1605566606.370,159671.414,69204,8480
1605566606.391,1605566606.588,197269.486,69501,4351
1605566606.610,1605566606.781,171780.742,76067,355
1605566606.803,1605566606.971,167978.676,76577,59
1605566606.994,1605566607.142,148009.097,76435,0
1605566607.165,1605566607.352,187337.701,76807,402
1605566607.375,1605566607.525,149469.392,70261,8475
1605566607.550,1605566607.801,251919.196,71497,3854
1605566607.826,1605566607.993,167224.538,74224,529
1605566608.019,1605566608.205,186191.185,72121,4257
1605566608.231,1605566608.395,164654.667,61649,16672
1605566608.423,1605566608.594,171108.045,72153,43
1605566608.620,1605566608.809,189409.471,67864,4251
1605566608.835,1605566609.034,198626.762,74942,262
1605566609.060,1605566609.322,261588.178,73428,142
1605566609.348,1605566609.736,388219.122,73073,112
1605566609.766,1605566609.989,223014.778,71587,4197
1605566610.018,1605566610.187,168835.937,73183,804
1605566610.216,1605566610.382,165875.864,72003,3850
1605566610.410,1605566610.582,171734.951,71555,4154
1605566610.610,1605566610.768,157897.122,72366,59
1605566610.797,1605566610.967,170287.871,65857,12526
1605566610.996,1605566611.152,156451.974,66954,8726
1605566611.182,1605566611.425,242737.226,63753,8460
1605566611.454,1605566611.639,184702.329,71213,4183
1605566611.669,1605566611.875,205443.202,67440,4926
1605566611.906,1605566612.143,237157.429,71620,3855
1605566612.173,1605566612.358,185073.485,73474,512
1605566612.390,1605566612.564,173958.939,71556,0
1605566612.595,1605566612.831,235501.421,74996,638
1605566612.862,1605566613.031,169046.871,73943,898
1605566613.064,1605566613.259,194458.412,71541,4209
1605566613.292,1605566613.448,155934.55,72745,4253
1605566613.482,1605566613.653,171194.582,68465,7395
1605566613.687,1605566613.865,177828.639,68996,7098
1605566613.900,1605566614.074,173492.033,68692,4688
1605566614.109,1605566614.281,172750.59,73667,3651
1605566614.317,1605566614.487,169850.152,70607,9053
1605566614.522,1605566614.769,246328.374,74644,998
1605566614.805,1605566614.972,167575.103,74474,0
1605566615.009,1605566615.239,229196.697,75224,1052
1605566615.276,1605566615.433,157632.538,75086,0
1605566615.471,1605566615.618,146505.322,71288,4558
1605566615.655,1605566615.828,173651.997,75306,1060
1605566615.867,1605566616.110,242313.808,69877,4051
1605566616.148,1605566616.402,254152.009,71723,743
1605566616.442,1605566616.598,156173.693,76027,10
1605566616.638,1605566616.803,164926.105,71360,4192
1605566616.842,1605566616.994,151938.388,69372,4346
1605566617.034,1605566617.195,160616.299,70412,4078
1605566617.235,1605566617.408,173196.726,82912,4817
1605566617.449,1605566617.630,180604.605,81172,851
1605566617.672,1605566617.864,192035.619,67367,9165
1605566617.906,1605566618.128,222690.465,71248,5329
1605566618.171,1605566618.368,196999.872,72221,4654
1605566618.410,1605566618.640,230155.565,87833,308
1605566618.685,1605566618.885,200727.815,76315,797
1605566618.930,1605566619.091,161325.095,72676,5462
1605566619.136,1605566619.366,229694.198,71576,4205
1605566619.411,1605566619.563,151827.254,72471,4167
1605566619.609,1605566619.781,172427.231,67295,8242
1605566619.827,1605566620.000,172835.7,76284,0
1605566620.048,1605566620.217,169414.913,69122,7711
1605566620.264,1605566620.413,148288.864,68189,8468
1605566620.461,1605566620.678,217471.588,68685,8071
1605566620.729,1605566620.909,179832.887,63563,12193
1605566620.958,1605566621.124,166054.624,75460,1166
1605566621.173,1605566621.381,207511.012,74879,697
1605566621.431,1605566621.622,191455.122,63581,11738
1605566621.673,1605566621.839,166432.058,76652,476
1605566621.890,1605566622.093,203239.794,74650,1493
1605566622.144,1605566622.322,178258.934,72589,4695
1605566622.375,1605566622.577,202562.33,82849,0
1605566622.630,1605566622.814,184326.287,72991,3447
1605566622.867,1605566623.078,210436.694,71395,4138
1605566623.132,1605566623.327,195107.466,70377,4049
1605566623.380,1605566623.545,164279.488,73464,51
1605566623.599,1605566623.806,206146.323,64106,7649
1605566623.861,1605566624.075,214327.423,69671,4010
1605566624.131,1605566624.354,223828.523,76314,455
1605566624.411,1605566624.581,170072.621,72291,5037
1605566624.637,1605566624.820,182519.33,73481,180
1605566624.877,1605566625.013,136214.2,68717,3032
1605566625.071,1605566625.274,202692.34,63395,12165
1605566625.334,1605566625.502,168608.799,92327,813
